epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.468,1.38661,1.71208,0.88718,0.97156,0.46671,0.76267,0.44799,1.21828,1.74893,0.86534,0.000660131,0.000660131,0.000660131
2,276.133,1.29323,0.96627,0.88215,0.88322,0.78236,0.83696,0.49613,1.13849,0.70445,0.87753,0.00130053,0.00130053,0.00130053
3,416.017,1.24128,0.82413,0.87341,0.9118,0.78698,0.85008,0.4855,1.11902,0.60917,0.86925,0.00191452,0.00191452,0.00191452
4,558.02,1.23501,0.74298,0.87461,0.92125,0.79161,0.86691,0.5046,1.12641,0.59197,0.87948,0.0018812,0.0018812,0.0018812
5,702.768,1.19425,0.69651,0.86435,0.92104,0.79375,0.88099,0.52727,1.13202,0.58417,0.87727,0.0018416,0.0018416,0.0018416
6,847.202,1.19296,0.6552,0.86438,0.9224,0.83149,0.89559,0.55678,1.01308,0.51729,0.86952,0.001802,0.001802,0.001802
7,991.382,1.16997,0.63335,0.86938,0.92701,0.8445,0.9061,0.55588,1.03568,0.52813,0.8679,0.0017624,0.0017624,0.0017624
8,1136.45,1.14857,0.60462,0.85741,0.92504,0.83498,0.9013,0.55618,1.00561,0.51079,0.86217,0.0017228,0.0017228,0.0017228
9,1282.11,1.10245,0.57178,0.8568,0.92211,0.84255,0.90665,0.55546,1.02656,0.51276,0.86998,0.0016832,0.0016832,0.0016832
10,1432.65,1.11514,0.58283,0.85275,0.91353,0.838,0.8975,0.56977,1.01533,0.51031,0.86862,0.0016436,0.0016436,0.0016436
11,1584.34,1.09524,0.57069,0.84921,0.89582,0.86142,0.90703,0.57833,1.01099,0.49858,0.86258,0.001604,0.001604,0.001604
12,1735.87,1.07357,0.55096,0.85534,0.91438,0.85751,0.91469,0.60454,0.96649,0.48173,0.85421,0.0015644,0.0015644,0.0015644
13,1887.66,1.09171,0.55703,0.84824,0.91628,0.85166,0.91725,0.56614,1.03434,0.49268,0.86907,0.0015248,0.0015248,0.0015248
14,2038.96,1.08342,0.54959,0.84251,0.91992,0.85947,0.92131,0.59887,0.99575,0.48564,0.86058,0.0014852,0.0014852,0.0014852
15,2190.97,1.05853,0.53477,0.84107,0.91593,0.84357,0.90771,0.58774,1.00595,0.48264,0.86374,0.0014456,0.0014456,0.0014456
16,2343.05,1.05888,0.53102,0.84368,0.92644,0.85231,0.91386,0.58526,0.98018,0.46818,0.8553,0.001406,0.001406,0.001406
17,2494.3,1.04192,0.52465,0.83843,0.91622,0.87573,0.92092,0.60636,0.95479,0.45902,0.85706,0.0013664,0.0013664,0.0013664
18,2646.68,1.03791,0.51947,0.84263,0.92995,0.86402,0.92692,0.61198,0.95084,0.47151,0.85496,0.0013268,0.0013268,0.0013268
19,2799.21,1.03663,0.51612,0.84202,0.91285,0.87234,0.92467,0.62373,0.94393,0.45684,0.8508,0.0012872,0.0012872,0.0012872
20,2951.48,1.00937,0.49747,0.84049,0.92595,0.86236,0.91725,0.61282,0.97103,0.46157,0.85315,0.0012476,0.0012476,0.0012476
